grid_type|lat|resolution|area
s2|20|6|24427.4415279024
s2|20|7|6043.3735316378
s2|20|8|1507.3074515439
s2|20|9|375.8205613591
s2|20|10|93.8289734959
s2|20|11|23.4501856873
s2|20|12|5.8605717833
s2|20|13|1.464896025
s2|20|14|0.3661931354
s2|20|15|0.0915444247
s2|20|16|0.0228858902
s2|20|17|0.0057214456
s2|20|18|0.001430358
s2|20|19|0.0003575886
s2|20|20|8.9397e-05
s2|20|21|2.23492e-05
s2|20|22|5.5873e-06
s2|20|23|1.3968e-06
s2|20|24|3.492e-07
s2|20|25|8.73e-08
s2|20|26|2.18e-08
s2|20|27|5.5e-09
s2|20|28|1.4e-09
s2|20|29|3e-10
s2|20|30|1e-10
s2|25|0|84154909.02223916
s2|25|1|24599524.08762271
s2|25|2|7436880.739619233
s2|25|3|1774660.913077548
s2|25|4|420651.9366404503
s2|25|5|101648.4946455281
s2|25|6|25152.5381365232
s2|25|7|6253.2158768775
s2|25|8|1555.8360666684
s2|25|9|388.0187218844
s2|25|10|96.9340765331
s2|25|11|24.2187700368
s2|25|12|6.0528472542
s2|25|13|1.5129810558
s2|25|14|0.3782164129
s2|25|15|0.0945504965
s2|25|16|0.0236371732
s2|25|17|0.0059092595
s2|25|18|0.0014773078
s2|25|19|0.0003693261
s2|25|20|9.23315e-05
s2|25|21|2.30828e-05
s2|25|22|5.7707e-06
s2|25|23|1.4427e-06
s2|25|24|3.607e-07
s2|25|25|9.02e-08
s2|25|26|2.25e-08
s2|25|27|5.6e-09
s2|25|28|1.4e-09
s2|25|29|4e-10
s2|25|30|1e-10
s2|30|0|84154909.02223916
s2|30|1|24599524.08762271
s2|30|2|7436880.739619233
s2|30|3|1774660.913077548
s2|30|4|429262.3426201183
s2|30|5|104182.3434825705
s2|30|6|25619.7467520531
s2|30|7|6363.822420302
s2|30|8|1585.6798840721
s2|30|9|395.7522282713
s2|30|10|98.8296985775
s2|30|11|24.6938526937
s2|30|12|6.1721504888
s2|30|13|1.5428253325
s2|30|14|0.3856797903
s2|30|15|0.0964166293
s2|30|16|0.0241038366
s2|30|17|0.0060259191
s2|30|18|0.0015064748
s2|30|19|0.0003766181
s2|30|20|9.41544e-05
s2|30|21|2.35386e-05
s2|30|22|5.8846e-06
s2|30|23|1.4712e-06
s2|30|24|3.678e-07
s2|30|25|9.19e-08
s2|30|26|2.3e-08
s2|30|27|5.7e-09
s2|30|28|1.4e-09
s2|30|29|4e-10
s2|30|30|1e-10
s2|35|0|84154909.02223916
s2|35|1|24599524.08762271
s2|35|2|7436880.739619233
s2|35|3|1792734.3558953863
s2|35|4|430883.4868367463
s2|35|5|104957.7278801216
s2|35|6|25860.850421231
s2|35|7|6415.9674573837
s2|35|8|1597.9615320948
s2|35|9|398.7051675865
s2|35|10|99.5810878325
s2|35|11|24.883343809
s2|35|12|6.2192946388
s2|35|13|1.5546308905
s2|35|14|0.3886336199
s2|35|15|0.097155489
s2|35|16|0.0242885077
s2|35|17|0.0060720814
s2|35|18|0.0015180146
s2|35|19|0.0003795029
s2|35|20|9.48756e-05
s2|35|21|2.37189e-05
s2|35|22|5.9297e-06
s2|35|23|1.4824e-06
s2|35|24|3.706e-07
s2|35|25|9.27e-08
s2|35|26|2.32e-08
s2|35|27|5.8e-09
s2|35|28|1.4e-09
s2|35|29|4e-10
s2|35|30|1e-10
s2|40|0|84154909.02223916
s2|40|1|24599524.08762271
s2|40|2|7436880.739619233
s2|40|3|1792734.3558953863
s2|40|4|426671.643033354
s2|40|5|104231.3849713126
s2|40|6|25722.2911343017
s2|40|7|6386.8178624344
s2|40|8|1591.1260102891
s2|40|9|397.0775061228
s2|40|10|99.1809629173
s2|40|11|24.7841632756
s2|40|12|6.1946545316
s2|40|13|1.5484591378
s2|40|14|0.387089217
s2|40|15|0.096769108
s2|40|16|0.0241919383
s2|40|17|0.0060479346
s2|40|18|0.0015119784
s2|40|19|0.0003779939
s2|40|20|9.44984e-05
s2|40|21|2.36246e-05
s2|40|22|5.9061e-06
s2|40|23|1.4765e-06
s2|40|24|3.691e-07
s2|40|25|9.23e-08
s2|40|26|2.31e-08
s2|40|27|5.8e-09
s2|40|28|1.4e-09
s2|40|29|4e-10
s2|40|30|1e-10
s2|45|0|84154909.02223916
s2|45|1|24599524.08762271
s2|45|2|7436880.739619233
s2|45|3|1792734.3558953863
s2|45|4|426671.643033354
s2|45|5|103410.5409791758
s2|45|6|25418.7016938246
s2|45|7|6299.0224518715
s2|45|8|1567.7186324601
s2|45|9|391.0452525249
s2|45|10|97.6504708801
s2|45|11|24.3987444459
s2|45|12|6.0979508348
s2|45|13|1.5242707295
s2|45|14|0.3810405556
s2|45|15|0.0952567478
s2|45|16|0.023813763
s2|45|17|0.0059533878
s2|45|18|0.0014883403
s2|45|19|0.0003720843
s2|45|20|9.3021e-05
s2|45|21|2.32552e-05
s2|45|22|5.8138e-06
s2|45|23|1.4535e-06
s2|45|24|3.634e-07
s2|45|25|9.08e-08
s2|45|26|2.27e-08
s2|45|27|5.7e-09
s2|45|28|1.4e-09
s2|45|29|4e-10
s2|45|30|1e-10
s2|50|2|15873102.818506029
s2|50|3|2599717.1392121487
s2|50|4|509260.1232109099
s2|50|5|135434.3682843366
s2|50|6|34941.7353500398
s2|50|7|8875.6279431379
s2|50|8|2236.7499197589
s2|50|9|561.4383745395
s2|50|10|140.6422580196
s2|50|11|35.1959795821
s2|50|12|8.8034269264
s2|50|13|2.1997654741
s2|50|14|0.5498050191
s2|50|15|0.1374342147
s2|50|16|0.034359635
s2|50|17|0.0085896425
s2|50|18|0.0021474275
s2|50|19|0.000536859
s2|50|20|0.0001342142
s2|50|21|3.35535e-05
s2|50|22|8.3884e-06
s2|50|23|2.0971e-06
s2|50|24|5.243e-07
s2|50|25|1.311e-07
s2|50|26|3.28e-08
s2|50|27|8.2e-09
s2|50|28|2e-09
s2|50|29|5e-10
s2|50|30|1e-10
s2|55|2|15873102.818506029
s2|55|3|2599717.1392121487
s2|55|4|746712.4808897866
s2|55|5|200368.2115232282
s2|55|6|51931.2895797465
s2|55|7|13221.8699614755
s2|55|8|3249.9078072712
s2|55|9|816.193816772
s2|55|10|203.185786105
s2|55|11|50.689005839
s2|55|12|12.6794805407
s2|55|13|3.1707743568
s2|55|14|0.7928066536
s2|55|15|0.1981754335
s2|55|16|0.04954058
s2|55|17|0.0123847352
s2|55|18|0.0030961326
s2|55|19|0.0007740366
s2|55|20|0.0001935096
s2|55|21|4.83773e-05
s2|55|22|1.20943e-05
s2|55|23|3.0236e-06
s2|55|24|7.559e-07
s2|55|25|1.89e-07
s2|55|26|4.72e-08
s2|55|27|1.18e-08
s2|55|28|3e-09
s2|55|29|7e-10
s2|55|30|2e-10
s2|60|2|15873102.818506029
s2|60|3|5964641.430035213
s2|60|4|1136951.608071364
s2|60|5|308971.3683187821
s2|60|6|80601.3459933687
s2|60|7|19421.5104199157
s2|60|8|4767.109353858
s2|60|9|1180.9177375141
s2|60|10|296.0049056793
s2|60|11|74.0984461557
s2|60|12|18.5034171294
s2|60|13|4.6273729014
s2|60|14|1.1570331229
s2|60|15|0.2892820223
s2|60|16|0.0723153309
s2|60|17|0.0180781859
s2|60|18|0.0045194656
s2|60|19|0.0011298563
s2|60|20|0.0002824628
s2|60|21|7.06158e-05
s2|60|22|1.76539e-05
s2|60|23|4.4135e-06
s2|60|24|1.1034e-06
s2|60|25|2.758e-07
s2|60|26|6.9e-08
s2|60|27|1.72e-08
s2|60|28|4.3e-09
s2|60|29|1.1e-09
s2|60|30|3e-10
s2|65|2|15873102.818506029
s2|65|3|5964641.430035213
s2|65|4|1826711.4379789555
s2|65|5|506316.0684272372
s2|65|6|116720.3884821248
s2|65|7|28028.8243205181
s2|65|8|7094.3001041927
s2|65|9|1784.6101974826
s2|65|10|443.9037202345
s2|65|11|111.1481138536
s2|65|12|27.808588461
s2|65|13|6.9548444349
s2|65|14|1.7390484189
s2|65|15|0.4348042776
s2|65|16|0.1087063416
s2|65|17|0.0271755117
s2|65|18|0.0067939603
s2|65|19|0.0016985004
s2|65|20|0.000424623
s2|65|21|0.0001061559
s2|65|22|2.6539e-05
s2|65|23|6.6347e-06
s2|65|24|1.6587e-06
s2|65|25|4.147e-07
s2|65|26|1.037e-07
s2|65|27|2.59e-08
s2|65|28|6.5e-09
s2|65|29|1.6e-09
s2|65|30|4e-10
s2|70|3|17276037.259269074
s2|70|4|3190627.0535693765
s2|70|5|670131.4551961345
s2|70|6|177945.2934290409
s2|70|7|45870.6566755572
s2|70|8|11206.6807721866
s2|70|9|2823.1287577071
s2|70|10|708.4866447758
s2|70|11|176.6109672793
s2|70|12|44.1949625711
s2|70|13|11.0540237004
s2|70|14|2.7641666492
s2|70|15|0.6911242742
